molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,14800.0,inactive
CHEMBL1762233,O=C(/C=C/c1ccc[nH]1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,20300.0,inactive
CHEMBL1801562,CC(C)=CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1.9,active
CHEMBL1801561,O=C(NCc1cccnc1)c1ccc(N(Cc2ccccc2Cl)CC2CC2)cc1,1.3,active
CHEMBL1801560,C#CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,4.2,active
CHEMBL1801559,CC(C)CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,6.1,active
CHEMBL1801558,CC(C)CN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,420.0,active
CHEMBL1801557,CCCCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,10000.0,inactive
CHEMBL1801556,CCCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,15.0,active
CHEMBL1801555,CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,330.0,active
CHEMBL1801554,CN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,10000.0,inactive
CHEMBL1801553,CC(C)=CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2nc3ccccc3[nH]2)cc1,31.0,active
CHEMBL1801552,CC(C)=CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,1.4,active
CHEMBL1801551,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccc(F)c2)cc1,250.0,active
CHEMBL1801550,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)c(F)c2)cc1,30.0,active
CHEMBL1801549,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(Cl)cc2)cc1,150.0,active
CHEMBL1801548,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)c(F)c2F)cc1,98.0,active
CHEMBL1801547,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)cc2F)cc1,49.0,active
CHEMBL1801941,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccccc2F)cc1,34.0,active
